Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,39635,23,240.0,262.47307536520725,170.46660000050906,21130.131499998242,381.43562507884445,658.4090351803576,0.38207159856561684,240,250,260,270,300,330,390,600,800,21000,21000
,Aggregated,39635,23,240.0,262.47307536520725,170.46660000050906,21130.131499998242,381.43562507884445,658.4090351803576,0.38207159856561684,240,250,260,270,300,330,390,600,800,21000,21000
